ID,Ag_Bulk,Ag-Surface,R_min,R_max,R_avg,R_std,R_skew,R_kurt,Anisotropy,Facets,S_100,S_111,S_110,S_311,Curve_0-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Ag_coord,Ag_bulk_coord,Ag_surf_coord,SCN1,SCN2,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,SCN12,Ag_bonds,Ag-Ag_length,Ag-Ag_stdev,FCC,HCP,ICOS,DECA,q6q6_Ag_all,q6q6_Ag_bulk,q6q6_Ag_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_20+,Shape,Formation_E,EF,IP,EA,EG
1,0.076923077,0.923076923,2.6303,2.8336,2.6644,0.0791,2.0552,2.64,1.077422955,20,0,0.923076923,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4615,12,6,0,0,0,0,0,0.923076923,0,0,0,0,0,0,42,2.75574,0.25161,0,0,0.076923077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Icosahedron,1.074749985,-3.9799,5.8119,2.7981,3.0138
2,0.043478261,0.956521739,2.6819,4.8235,3.4914,0.6991,0.6748,-0.9309,1.797389138,10,0,0,0.217391304,0,0,0,0.086956522,0.434782609,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,6.6957,12,6.4545,0,0,0,0.217391304,0,0.304347826,0,0.434782609,0,0,0,0,77,2.8091,0.20849,0,0,0,0.043478261,2.3478,0,2.4545,0.130434783,0.086956522,0.347826087,0.260869565,0.130434783,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decahedron,0.84423159,-3.7739,5.2309,2.3148,2.9161
3,0.179487179,0.820512821,3.9244,4.9074,4.3422,0.4064,0.54,-1.4089,1.250694968,15,0,0,0.256410256,0.256410256,0,0.256410256,0.256410256,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5897,12,6.625,0,0,0,0,0.256410256,0.051282051,0.256410256,0.256410256,0,0,0,0,148,2.84297,0.1216,0,0.128205128,0,0.051282051,5.1795,6,5,0.051282051,0.051282051,0,0,0.256410256,0.256410256,0,0.256410256,0.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,Decahedron,0.658829472,-3.4036,4.6962,2.1296,2.5666
4,0.023255814,0.976744186,3.0852,4.7729,4.2044,0.7454,-0.7677,-1.2828,1.14465706,20,0,0,0,0,0,0,0,0,0.697674419,0.279069767,0,0,0,0,0,0,0,0,0,0,0,0,7.2558,12,7.1429,0,0,0,0,0.558139535,0,0,0.139534884,0,0,0.279069767,0,156,2.80619,0.20273,0.023255814,0,0,0,7.2558,12,7.1429,0,0,0,0,0,0.558139535,0,0,0.139534884,0,0,0.279069767,0.023255814,0,0,0,0,0,0,0,0,0,Rhombitruncated_octahedron,0.695380933,-3.53,4.7528,2.3175,2.4353
5,0.142857143,0.857142857,3.8637,5.9179,4.791,0.7647,0.3264,-1.2541,1.532055824,20,0,0,0.408163265,0,0,0.204081633,0.408163265,0.040816327,0.204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8776,12,7.1905,0,0,0,0,0.204081633,0.040816327,0.204081633,0.204081633,0.204081633,0,0,0,193,2.85078,0.17853,0,0.102040816,0,0.040816327,4.9388,6,4.7619,0.040816327,0.040816327,0,0.204081633,0.408163265,0,0,0,0.102040816,0.204081633,0,0,0,0,0,0,0,0,0,0,0,0,Decahedron,0.593257677,-3.6125,4.7698,2.4314,2.3384
6,0.12962963,0.87037037,3.91,7.0085,5.0379,1.002,0.583,-0.7349,1.792783749,10,0,0,0.37037037,0,0,0.185185185,0.185185185,0.222222222,0.185185185,0.092592593,0,0,0,0,0,0,0,0,0,0,0,0,7.8889,12,7.2766,0,0,0,0.092592593,0,0.222222222,0,0.37037037,0.185185185,0,0,0,213,2.85876,0.17676,0,0.092592593,0,0.037037037,5.4074,6,5.3191,0.037037037,0.037037037,0,0,0.462962963,0,0.185185185,0,0.092592593,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,Decahedron,0.602807677,-3.6548,4.7737,2.5407,2.233
7,0.236363636,0.763636364,4.2362,5.713,5.0415,0.4042,-0.4345,-0.0916,1.348724137,15,0.090909091,0,0.181818182,0.181818182,0.090909091,0.181818182,0.272727273,0.218181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9636,12,6.7143,0,0,0,0,0.181818182,0.127272727,0.181818182,0.272727273,0,0,0,0,219,2.86635,0.11531,0,0.181818182,0,0.054545455,5.7091,6.4615,5.4762,0.036363636,0.036363636,0.018181818,0,0.181818182,0.181818182,0.090909091,0.181818182,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,Decahedron,0.562339495,-3.6974,4.2492,2.5592,1.69
8,0.236363636,0.763636364,4.8227,5.4854,5.0121,0.303,0.9842,-1.0854,1.137396652,20,0,0,0.545454545,0,0,0.545454545,0,0.218181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5091,12,7.4286,0,0,0,0,0,0.218181818,0,0.545454545,0,0,0,0,234,2.89673,0.11204,0,0,0.018181818,0.218181818,0.4364,1.8462,0,0.763636364,0.218181818,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,Icosahedron,0.531134041,-4.094,5.2468,2.9422,2.3046
9,0.225806452,0.774193548,4.7578,5.7871,5.2724,0.5201,0,-2.0889,1.216278336,14,0,0,0,0,0,0,0.387096774,0.387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7419,12,6.5,0,0,0,0,0.387096774,0,0,0.387096774,0,0,0,0,240,2.8541,0.18427,0.225806452,0,0,0,7.7419,12,6.5,0,0,0,0,0,0.387096774,0,0,0.387096774,0,0,0,0.225806452,0,0,0,0,0,0,0,0,0,Truncated_cube,0.573814129,-3.6229,4.7323,2.5167,2.2156
10,0.24,0.76,5.0553,6.274,5.6503,0.5012,0.2294,-1.6596,1.241167907,25,0,0.2,0.133333333,0,0.133333333,0.2,0.4,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5067,12,7.4035,0,0,0,0,0,0.293333333,0.133333333,0.133333333,0.133333333,0.066666667,0,0,319,2.88846,0.15444,0.066666667,0.133333333,0,0.04,6.8533,8,6.4912,0.026666667,0.026666667,0.013333333,0,0.133333333,0,0.266666667,0.133333333,0.133333333,0.133333333,0.066666667,0,0.066666667,0,0,0,0,0,0,0,0,0,Decahedron,0.47910301,-3.681,4.7227,2.6418,2.0809
